Tipo,Fecha,Precio,Capital,Ticker
BUY,2026-02-04,200.19000244140625,500.0,AMD
SELL+1%D2,2026-02-06,208.44000244140625,520.6054245951036,AMD
BUY,2025-04-03,74.1936264038086,500.0,MU
SELL+1%D4,2025-04-09,77.71669006347656,523.7423605667502,MU
BUY,2025-04-10,69.9120864868164,523.7423605667502,MU
SELL+1%D2,2025-04-14,70.88016510009766,530.9946656203223,MU
BUY,2025-11-20,201.28868103027344,530.9946656203223,MU
SELL+1%D1,2025-11-21,207.2862548828125,546.8161201902551,MU
BUY,2025-04-03,64.82318115234375,500.0,LRCX
SELL+1%D4,2025-04-09,70.6773452758789,545.1548660484359,LRCX
BUY,2026-01-30,1426.0869140625,500.0,KLAC
SELL+1%D5,2026-02-06,1441.077392578125,505.2558081726315,KLAC
BUY,2025-08-15,160.78163146972656,500.0,AMAT
SELL+1%D1,2025-08-18,162.5409393310547,505.4711096200668,AMAT
BUY,2025-04-03,35.560001373291016,500.0,ON
SELL+1%D4,2025-04-09,39.20000076293945,551.181091803647,ON
BUY,2025-04-10,34.880001068115234,551.181091803647,ON
SELL+1%D2,2025-04-14,35.619998931884766,562.8746932369825,ON
BUY,2025-08-04,47.970001220703125,562.8746932369825,ON
SELL+1%D6,2025-08-12,50.0099983215332,586.8117937813638,ON
BUY,2025-03-06,72.03935241699219,500.0,MRVL
SELL D7,2025-03-17,70.16561889648438,486.9950696553885,MRVL
BUY,2025-04-03,55.45475387573242,486.9950696553885,MRVL
SELL+1%D4,2025-04-09,60.757041931152344,533.5589430911725,MRVL
BUY,2025-04-10,52.693973541259766,533.5589430911725,MRVL
SELL+1%D1,2025-04-11,53.272705078125,539.4189564170144,MRVL
BUY,2025-08-29,62.783226013183594,539.4189564170144,MRVL
SELL+1%D1,2025-09-02,64.51083374023438,554.2621624196499,MRVL
BUY,2025-03-10,222.14999389648438,500.0,TSLA
SELL+1%D1,2025-03-11,230.5800018310547,518.973684821478,TSLA
BUY,2025-04-04,239.42999267578125,518.973684821478,TSLA
SELL+1%D3,2025-04-09,272.20001220703125,590.0039580038105,TSLA
BUY,2025-06-05,284.70001220703125,590.0039580038105,TSLA
SELL+1%D1,2025-06-06,295.1400146484375,611.6395129665545,TSLA
BUY,2025-03-06,186.85000610351562,500.0,CVNA
SELL D7,2025-03-17,186.5,499.0634035534317,CVNA
BUY,2025-03-18,166.52000427246094,499.0634035534317,CVNA
SELL+1%D1,2025-03-19,176.08999633789062,527.7448393546109,CVNA
BUY,2025-04-03,181.7899932861328,527.7448393546109,CVNA
SELL+1%D4,2025-04-09,220.44000244140625,639.9476207288262,CVNA
BUY,2025-10-30,305.07000732421875,639.9476207288262,CVNA
SELL+1%D2,2025-11-03,332.3299865722656,697.1310817118157,CVNA
BUY,2026-01-28,410.0400085449219,697.1310817118157,CVNA
SELL+1%D1,2026-01-29,427.44000244140625,726.7137475835686,CVNA
BUY,2025-09-02,17.65999984741211,500.0,LCID
SELL+1%D3,2025-09-05,18.40999984741211,521.2344282695423,LCID
BUY,2025-03-10,179.22999572753906,500.0,COIN
SELL+1%D1,2025-03-11,191.69000244140625,534.7598253944294,COIN
BUY,2025-08-01,314.69000244140625,534.7598253944294,COIN
SELL+1%D1,2025-08-04,318.1700134277344,540.6734866260601,COIN
BUY,2026-02-05,146.1199951171875,540.6734866260601,COIN
SELL+1%D1,2026-02-06,165.1199951171875,610.9773231246612,COIN
BUY,2025-03-06,80.45999908447266,500.0,PLTR
SELL+1%D1,2025-03-07,84.91000366210938,527.6535211799144,PLTR
BUY,2025-03-10,76.37999725341797,527.6535211799144,PLTR
SELL+1%D1,2025-03-11,78.05000305175781,539.1903694591994,PLTR
BUY,2025-04-04,74.01000213623047,539.1903694591994,PLTR
SELL+1%D1,2025-04-07,77.83999633789062,567.0933005362517,PLTR
BUY,2025-05-06,108.86000061035156,567.0933005362517,PLTR
SELL+1%D1,2025-05-07,110.4800033569336,575.5325132800153,PLTR
BUY,2026-02-04,139.5399932861328,575.5325132800153,PLTR
SELL+1%D3,2026-02-09,142.91000366210938,589.4321165105271,PLTR
BUY,2025-03-10,47.400001525878906,500.0,UPST
SELL+1%D2,2025-03-12,49.65999984741211,523.8396439744765,UPST
BUY,2025-04-03,38.689998626708984,523.8396439744765,UPST
SELL+1%D4,2025-04-09,43.13999938964844,584.0900161141934,UPST
BUY,2025-04-10,38.54999923706055,584.0900161141934,UPST
SELL+1%D1,2025-04-11,38.9900016784668,590.7567097115357,UPST
BUY,2025-08-06,67.13999938964844,590.7567097115357,UPST
SELL+1%D1,2025-08-07,69.52999877929688,611.7860244043651,UPST
BUY,2026-02-11,33.099998474121094,611.7860244043651,UPST
SELL D7,2026-02-23,27.260000228881836,503.8455569213598,UPST
BUY,2026-02-23,102.61499786376953,500.0,DDOG
SELL+1%D1,2026-02-24,104.43000030517578,508.8437483759237,DDOG
BUY,2025-03-06,156.22000122070312,500.0,SNOW
SELL+1%D1,2025-03-07,158.91000366210938,508.6096608001106,SNOW
BUY,2025-12-04,234.77000427246094,508.6096608001106,SNOW
SELL D7,2025-12-15,215.27999877929688,466.38618717710796,SNOW
BUY,2025-04-03,107.38999938964844,500.0,NET
SELL+1%D4,2025-04-09,112.55999755859375,524.071134176036,NET
BUY,2026-01-28,184.8800048828125,524.071134176036,NET
SELL D7,2026-02-06,173.2100067138672,490.9907089558612,NET
BUY,2025-11-26,251.97000122070312,500.0,ZS
SELL D7,2025-12-08,244.8800048828125,485.93087212060533,ZS
BUY,2026-02-23,143.27999877929688,485.93087212060533,ZS
SELL+1%D1,2026-02-24,149.36000061035156,506.55106068446923,ZS
BUY,2025-05-28,105.2249984741211,500.0,OKTA
SELL+1%D1,2025-05-29,106.62999725341797,506.67616440803477,OKTA
BUY,2025-03-13,53.880001068115234,500.0,TTD
SELL+1%D2,2025-03-17,56.5,524.3132783959354,TTD
BUY,2025-04-03,49.08000183105469,524.3132783959354,TTD
SELL+1%D4,2025-04-09,54.119998931884766,578.154706767077,TTD
BUY,2025-08-08,54.22999954223633,578.154706767077,TTD
SELL+1%D6,2025-08-18,54.95000076293945,585.8307550455459,TTD
BUY,2025-09-10,46.13999938964844,585.8307550455459,TTD
SELL D7,2025-09-19,44.470001220703125,564.6271074257021,TTD
BUY,2025-04-03,138.34912109375,500.0,FANG
SELL D7,2025-04-14,124.99207305908203,451.7270224448452,FANG
BUY,2025-04-03,43.17340087890625,500.0,OXY
SELL D7,2025-04-14,37.272705078125,431.66283312575194,OXY
BUY,2025-04-03,32.49171829223633,500.0,DVN
SELL D7,2025-04-14,28.150997161865234,433.2026534988105,DVN
BUY,2025-04-03,21.898115158081055,500.0,HAL
SELL D7,2025-04-14,20.783159255981445,474.5421947493925,HAL
BUY,2025-04-04,33.748390197753906,500.0,SLB
SELL+1%D3,2025-04-09,34.91279602050781,517.2512794822344,SLB
BUY,2025-02-27,129.3017578125,500.0,VST
SELL+1%D1,2025-02-28,132.93186950683594,514.0373640534723,VST
BUY,2025-04-03,107.80648803710938,514.0373640534723,VST
SELL+1%D4,2025-04-09,117.57991027832031,560.6384944504139,VST
BUY,2026-01-29,785.2711791992188,500.0,URI
SELL+1%D4,2026-02-04,846.2239379882812,538.8100062778435,URI
