Caída señal (%),Capital inicial (€),Capital final (€),Rentabilidad total (%),Rentabilidad anualizada (%)
-1.0,250000.0,736345.98,194.54,48.55
-2.0,250000.0,2049652.15,719.86,116.15
-3.0,250000.0,2381717.54,852.69,128.37
-4.0,250000.0,1724172.4,589.67,102.88
-5.0,250000.0,1746501.23,598.6,103.84
-6.0,250000.0,298575.74,19.43,6.72
-7.0,250000.0,298435.67,19.37,6.7
-8.0,250000.0,243078.09,-2.77,-1.02
-9.0,250000.0,216105.45,-13.56,-5.2
-10.0,250000.0,196019.53,-21.59,-8.53
-11.0,250000.0,206632.72,-17.35,-6.74
-12.0,250000.0,261818.36,4.73,1.71
-13.0,250000.0,266902.83,6.76,2.43
-14.0,250000.0,279972.33,11.99,4.24
-15.0,250000.0,309863.45,23.95,8.18
-16.0,250000.0,293986.71,17.59,6.12
-17.0,250000.0,286787.18,14.71,5.16
-18.0,250000.0,295968.15,18.39,6.38
-19.0,250000.0,295000.89,18.0,6.25
-20.0,250000.0,281267.84,12.51,4.41
-21.0,250000.0,281267.84,12.51,4.41
-22.0,250000.0,260200.25,4.08,1.48
-23.0,250000.0,250797.08,0.32,0.12
-24.0,250000.0,250797.08,0.32,0.12
-25.0,250000.0,250797.08,0.32,0.12
