,2%,5%,10%,15%,20%
-2%,12.719585526560495,23.026432515256488,30.868638875639554,34.39482938288221,36.23426958120221
-3%,9.833384041495385,18.169495395260384,24.854617338269946,27.94400803437689,29.52336544808467
-4%,7.394136636230453,13.778655496910686,19.713835906931543,23.768829974391934,27.870516619801666
-5%,5.798616357675512,10.906856724876036,16.125082688524948,20.34526348496657,24.31282612934076
-6%,6.266927172046333,11.800183383841212,16.49322359687393,19.268208283740652,21.544728593877082
-7%,5.893860066534029,11.928321826728405,18.613005820458017,23.7315422066956,28.254631633311188
-8%,4.7797478746941735,9.175751727678794,12.340123661126201,12.938438933653096,12.270071435543795
-9%,3.699023457478101,7.565308568921858,11.340099444990992,13.418530422515973,14.70337376594375
-10%,2.612682786882048,5.641172076533452,9.163969618342716,11.667156136573453,13.728587089993805
