Ticker,Año,Beneficio,Capital_Invertido,Rentabilidad_%
AMAT,2025,6660.802242381442,236819.39707816622,2.8126083946506006
AMAT,2026,1934.2473469622682,33079.99190382139,5.847182044620829
AMD,2025,5277.824126543317,314302.8298506208,1.679216228836284
AMD,2026,592.4818554151461,53557.74226199634,1.1062487520792323
CAT,2025,88.69957848556714,100740.35770341456,0.08804771047836046
CAT,2026,1207.7323147242787,28442.021736454582,4.246295590078638
COF,2025,2650.4982772939347,182722.59113403203,1.4505586095534961
COIN,2025,5582.9484286025745,212151.87918513836,2.6315809457103647
CRWD,2025,4649.094670826833,262304.9092449826,1.7724009375992118
CRWD,2026,-1601.0495742252951,57576.91983109331,-2.780714180130002
CVNA,2025,7340.831354290436,142160.4923787997,5.163763315288833
DDOG,2025,-3533.6217545842487,164716.59349084756,-2.145273696897206
DE,2025,1394.9952355998275,65031.4586513252,2.1451083283850045
DVN,2025,-1498.3167867193888,114213.38814680515,-1.3118574022106013
DVN,2026,312.3692854063156,37233.66187503717,0.8389432295289214
FANG,2025,-717.2200162313547,143039.23929603456,-0.5014148703258925
FANG,2026,633.6591539462661,25442.47171036258,2.4905565825516085
GS,2025,-1782.7097929210468,46111.3039232823,-3.8661014572197545
GS,2026,1069.1077259064623,33582.528938666306,3.183523575187071
HAL,2025,-2362.5220547278386,139071.32864663008,-1.6987844135226693
KLAC,2025,1659.9024393301306,191891.83495145227,0.8650198377383166
KLAC,2026,563.9163071306166,19698.000645422242,2.8628098723393487
LCID,2025,-2939.4689877695746,464375.5115456968,-0.6329939703291863
LCID,2026,3786.4795347366016,84552.79562703893,4.478242861937652
LRCX,2025,2495.939585399293,195871.75991787662,1.2742723026768985
LRCX,2026,829.9366574376427,17266.10380096918,4.806739650152322
MRVL,2025,4370.720793911018,128191.62747649907,3.4095212612167565
MS,2025,-891.1454026845913,34122.73454723957,-2.611588474689472
MS,2026,639.7488423696122,31309.78264104583,2.0432873958407107
MU,2025,422.5992806256918,194304.07889576317,0.21749377729347635
MU,2026,-127.45939621332764,23205.02254983926,-0.5492750370725692
NET,2025,3105.331875714041,174569.65642101827,1.7788497379090662
NET,2026,-1116.0811671518868,48625.04934877336,-2.295280276522828
NVDA,2025,240.38033093977901,97110.70692895343,0.24753226347702545
OKTA,2025,-1484.4979134043829,178722.36315237172,-0.8306167662626293
OKTA,2026,184.7024021411744,49011.747722542685,0.3768533274650427
ON,2025,4319.423380353659,195985.92143203734,2.2039457471191466
OXY,2025,232.84592142561087,105255.66897556302,0.22121936394672498
OXY,2026,1096.3764896711155,24976.507699184807,4.389630859829532
PLTR,2025,7559.732561468429,213145.06154131857,3.5467547344525086
PLTR,2026,-78.93962604404169,66321.99484097364,-0.1190248065265867
RIVN,2025,3698.5115620290853,298588.7997433292,1.2386638632153564
RIVN,2026,-736.0264973823496,74984.08139809134,-0.9815770009567453
SLB,2025,-962.0412529532509,71642.59363608538,-1.3428342053611584
SLB,2026,548.8095836777111,17697.778325386298,3.101008350242922
SNOW,2025,3015.566831536861,145349.64018591208,2.074698518468808
SNOW,2026,-1812.8289085461938,43152.532731470754,-4.200979163441116
TSLA,2025,4314.825684292088,298451.0848141732,1.44573965511925
TSLA,2026,744.2401360960375,64098.05718051941,1.1610962466460308
TTD,2025,1642.6434261987877,253332.26934799133,0.6484146020664905
TTD,2026,-1326.7396857931435,57015.47458336447,-2.326981745724606
UPST,2025,-2122.3844901715634,349521.2719496385,-0.607226129137391
UPST,2026,2224.6883971554116,81612.40617699557,2.7259193808483664
URI,2025,3450.782731738463,79195.24040919062,4.357310759975923
URI,2026,-1407.351144455106,9442.929047680094,-14.903756422916882
VST,2025,3477.8121000270057,186897.7574062697,1.860809968129847
VST,2026,817.4779520605643,35200.327388512225,2.3223589458072813
ZS,2025,450.1940254528274,106096.0729033245,0.4243267569979215
ZS,2026,-478.18924292431257,36911.16704922153,-1.29551374598002
